"","SP","AP","DCG","nDCG","VDCG","nVDCG","P@10","RR","RBP.8","RBP.95","RP"
"801",54.3296097258093,0.4296225,19.4514548509473,0.75169564,18.7739602099546,0.750111425787305,0.7975,0.923888888888889,0.800683661371047,0.666793581849332,0.42939453125
"802",49.15990696872,0.315495,18.359874797068,0.5996700375,17.7294318985144,0.595809376387598,0.72875,0.879689153439153,0.74474915219717,0.617487225531359,0.357561728395062
"803",0.314926103105568,0.02629875,0.392281746320939,0.067373385,0.363513932227789,0.0713788453665313,0.03,0.144974237981759,0.0435426726635864,0.0177773451402204,0.028125
"804",86.3988957795341,0.45989,25.3218144581248,0.73670448875,24.8763329482487,0.742457113568265,0.5725,0.635092863392076,0.535195430809316,0.590466941744219,0.505328947368421
"805",0.573074808101362,0.0957175,1.09572031715552,0.2775057875,1.04355339835395,0.315781776956795,0.07125,0.279411140747204,0.0851069354776607,0.0676623614309363,0.0770833333333333
"806",11.4864142153083,0.1516925,7.19401684420441,0.39461697375,6.75913391721337,0.388619971447352,0.48,0.701760118469107,0.501976181748826,0.306645331852972,0.18262987012987
"807",70.9033176120696,0.49017375,22.0764657729070,0.776789095,21.3694186597115,0.775404782289526,0.81,0.952222222222222,0.833392147712665,0.723804197971184,0.49152397260274
"808",42.5872117671349,0.49278625,14.7413752810016,0.74433957625,14.0273732569035,0.739861810985378,0.8825,0.941733469028142,0.882316924216494,0.701047129790008,0.48433908045977
"809",44.2998137480119,0.27061625,18.5970290691286,0.58412153,18.0209143341394,0.581800167170279,0.6575,0.867655993431856,0.687871295037754,0.548810619682952,0.330994152046784
"810",4.44603059033362,0.27819625,3.84260202922441,0.56003596125,3.56815061876081,0.584368075968072,0.3775,0.687585708947158,0.38849587360131,0.230507309140145,0.31171875
"811",13.9514912134855,0.21358,8.3096966191542,0.505221101625,7.9118230806576,0.506681739952341,0.46,0.633925695936649,0.460975504333129,0.386232533406496,0.319318181818182
"812",54.8776390774874,0.42838625,18.9911147198737,0.72571308125,18.3723357306077,0.725811811909418,0.70625,0.838515625,0.713886645769177,0.629930380030133,0.458076923076923
