"","SP","AP","DCG","nDCG","VDCG","nVDCG","P@10","RR","RBP.8","RBP.95","RP"
"303",24.6677253657592,0.286829729729730,13.3307750693022,0.678430616216216,12.9399063350807,0.688123130630825,0.397297297297297,0.606192584209826,0.401352279423713,0.311011283598889,0.3012256442489
"307",65.5697391695493,0.270964864864865,22.2796358707325,0.542378610135135,21.717434549634,0.540149659861036,0.624324324324324,0.811554731067151,0.641039606144833,0.57392062923253,0.358554835827563
"310",16.9853410465744,0.261318918918919,8.89212045368947,0.54612517972973,8.29018627049808,0.536577298211314,0.668918918918919,0.857570547360795,0.709748052513888,0.454452676511425,0.291683991683992
"314",7.68652811059198,0.101132432432432,5.65390414407512,0.312819974324324,5.48128906686066,0.31805904296939,0.241891891891892,0.400909562261011,0.236077785519449,0.183690156057718,0.141714082503556
"322",1.66505536589068,0.0256081081081081,2.27579136203453,0.139750505810811,2.21397261719487,0.143298040175023,0.0932432432432432,0.151295569443858,0.0819074623883736,0.0755893508769607,0.0623700623700624
"325",116.826005061346,0.417247297297297,32.7455315028171,0.714794268918919,32.1925330039164,0.716409219845078,0.637837837837838,0.728541777071189,0.634094909830105,0.592059126674757,0.470752895752896
"330",35.4859329851135,0.183897297297297,16.0683276683962,0.462301738648649,15.6486454893046,0.461604555140227,0.436486486486486,0.620827032416005,0.470603590746208,0.368266722899046,0.234000840218457
"336",14.7130343834642,0.350304054054054,7.73572692060946,0.630125768918919,7.26423743908564,0.633834994702794,0.533783783783784,0.50839783961365,0.505042903799093,0.424374199599887,0.38996138996139
"341",2.75520018109335,0.0744662162162162,4.01031007249512,0.35374492027027,3.88856406567129,0.369379817889346,0.141891891891892,0.334916386425007,0.145822796461840,0.116576460420678,0.115777940102264
"344",8.22842828440626,0.0669067567567568,7.17748423938374,0.285279635810811,6.9438140969148,0.285603537654000,0.262162162162162,0.389517377640125,0.261429695810127,0.200033733022632,0.130850362557680
"345",0.312377810012211,0.0347067567567568,1.00634491925131,0.203159824324324,0.989974427634665,0.232689083249681,0.0270270270270270,0.0854345592707042,0.0240071748184498,0.030495386458019,0.0255255255255255
"347",21.2179520182233,0.128633783783784,14.0526153235526,0.453111530540541,13.7747150040903,0.456658535736733,0.291891891891892,0.605373313707336,0.334952340852841,0.247469731238071,0.189271089271089
"353",0.970062352628969,0.0462054054054054,2.32515297123047,0.28935715,2.30474878140576,0.317261326845514,0.0229729729729730,0.0726336660902211,0.0205658833558484,0.0448639911104685,0.0353925353925354
"354",45.8950226352335,0.122089189189189,20.101679903459,0.350895066081081,19.6767109571618,0.348735441481403,0.513513513513513,0.638123750747106,0.501647736512999,0.430941649341917,0.210968947671075
"362",61.1284051349399,0.349378378378378,20.5680083710873,0.635591813513513,19.9331757937017,0.632567660209944,0.74054054054054,0.873873873873874,0.753246998157323,0.660561913610996,0.400772200772201
"363",14.4024078425016,0.129764864864865,10.3481540596937,0.441955445945946,9.93945657290112,0.440372202842584,0.471621621621622,0.812524481002742,0.510108258371822,0.331713167938483,0.179206233260287
"367",10.1110985856007,0.106462162162162,7.27114457570027,0.345966774324324,7.02596280040475,0.348088316201488,0.285135135135135,0.331307022985055,0.272444626223768,0.226092336649624,0.146657183499289
