"","SP","AP","DCG","nDCG","VDCG","nVDCG","P@10","RR","RBP.8","RBP.95","RP"
"303",1.39442033334641,0.139702564102564,2.15609448717949,0.41033341025641,2.07344099163546,0.456347290163891,0.0897435897435897,0.367532465933266,0.103957692307692,0.0864589743589744,0.0884615384615385
"307",24.2079350542198,0.115310256410256,14.0311682051282,0.37933391025641,13.6944140259676,0.379152476754549,0.312820512820513,0.655618046483431,0.360152564102564,0.284144871794872,0.193833943833944
"310",2.34290821071017,0.180220512820513,2.59628911538462,0.426128333333333,2.37778451447611,0.443998387862227,0.288461538461538,0.840384615384615,0.355937179487180,0.149829487179487,0.241617357001972
"314",6.60253026743902,0.150125641025641,5.44854738461538,0.43092162948718,5.02379577735225,0.424808389206331,0.388461538461538,0.797928951867892,0.474038461538462,0.25205,0.194347319347319
"320",1.18712272491525,0.197855128205128,1.71915403846154,0.435398751282051,1.56200058907526,0.472665148140743,0.161538461538462,0.419358597872107,0.180591025641026,0.0982602564102564,0.205128205128205
"322",2.26666885017284,0.0666641025641026,3.04525084615385,0.283111091025641,2.87775317309207,0.289182433945251,0.188461538461538,0.457284448011973,0.208658974358974,0.110678205128205,0.0953996983408748
"325",4.28835182367534,0.178671794871795,4.35468529487179,0.50032673974359,4.06547764964095,0.51338144150825,0.341025641025641,0.578443741581614,0.349583333333333,0.211553846153846,0.225961538461538
"330",4.45097030181593,0.0742717948717949,5.63911562820513,0.365036092179487,5.5104876229615,0.3769989419854,0.143589743589744,0.271750812710673,0.140014102564103,0.123132051282051,0.109401709401709
"336",1.00236172337001,0.0835294871794872,1.54481007692308,0.265317211538462,1.42628510419632,0.280062398921264,0.153846153846154,0.345336403109988,0.155751282051282,0.0769628205128205,0.134615384615385
"341",17.7863434144217,0.228341025641026,10.2803380769231,0.558937217948718,9.72535926707787,0.554110729732431,0.653846153846154,0.878612128612129,0.659482051282051,0.457179487179487,0.298980933596318
"344",0.229571397790972,0.0462333333333333,0.735636512820513,0.206546212820513,0.713184873952108,0.241883928247635,0.0346153846153846,0.104557047887726,0.033575641025641,0.031524358974359,0.0435897435897436
"345",2.3298371523482,0.0613858974358974,3.93016365384615,0.340944678205128,3.77532231384222,0.352291317506872,0.179487179487179,0.271758414274511,0.154183333333333,0.113042307692308,0.0978407557354926
"346",2.8346352706391,0.0270358974358974,4.6595882051282,0.206759353974359,4.55798398721979,0.210191492885515,0.0884615384615385,0.195156801175450,0.089674358974359,0.0857115384615385,0.066056166056166
"347",5.5472798993266,0.0365923076923077,7.80704487179487,0.266900869230769,7.75387563330236,0.273134154356387,0.0602564102564103,0.0871248410766354,0.0443038461538462,0.0613564102564103,0.0653677462887989
"350",5.63131910202465,0.082824358974359,5.37325788461538,0.320232346153846,5.00799551561654,0.314119684954036,0.364102564102564,0.804127289532317,0.436470512820513,0.21615,0.119720965309201
"353",32.2559803742755,0.264482051282051,13.4387602564103,0.537014955128205,12.9808610360637,0.537087768565755,0.507692307692308,0.746866096866097,0.527823076923077,0.452370512820513,0.378940731399748
"354",31.3117840804423,0.0868807692307692,16.5333680769231,0.297645770512820,16.2406294862992,0.297094883931293,0.376923076923077,0.504331918081918,0.354446153846154,0.336547435897436,0.176326443639463
"355",8.5357569789404,0.189829487179487,6.63946358974359,0.517655525641026,6.23354476743364,0.519156181656693,0.466666666666667,0.948717948717949,0.530767948717949,0.312397435897436,0.247293447293447
"356",0.557930087205078,0.0328166666666667,1.32715239743590,0.186765051282051,1.31377544301696,0.207030345156801,0.0282051282051282,0.0941772719211875,0.0213115384615385,0.0508820512820513,0.0361990950226244
